autism,sex,year,pd,diag,py,age,pred,lower,upper,form,obs,pch
autism,f,2000,bpd,0,0.00678083504449008,20,1.09285080969199,0.00530937985618907,224.945836348899,1.09 (0.01-224.95),0,4
autism,f,2001,bpd,0,0.00954318959616701,20,1.5440857823791,0.0158887808847603,150.05562230593,1.54 (0.02-150.06),0,4
autism,f,2002,bpd,0,0.0134149897330596,20,2.14689948225631,0.0440264850365824,104.691014580941,2.15 (0.04-104.69),0,4
autism,f,2003,bpd,0,0.0172538672142368,20,2.93752613964214,0.112879710661807,76.4447372383326,2.94 (0.11-76.44),0,4
autism,f,2004,bpd,0,0.0220018480492813,20,3.9553189494716,0.267526879846233,58.4784153317274,3.96 (0.27-58.48),0,4
autism,f,2005,bpd,0,0.0293275154004107,20,5.24096212804957,0.585253542947137,46.9329649664861,5.24 (0.59-46.93),0,4
autism,f,2006,bpd,0,0.038656810403833,20,6.83392604066512,1.17933224866699,39.6008378318061,6.83 (1.18-39.60),0,4
autism,f,2007,bpd,1,0.0494344969199179,20,8.76918573644965,2.18254460326219,35.2334693941255,8.77 (2.18-35.23),20.2287888479975,4
autism,f,2008,bpd,1,0.0575774127310062,20,11.0733239306724,3.69599232378739,33.1760707630342,11.07 (3.70-33.18),17.3679217694596,4
autism,f,2009,bpd,0,0.0701700205338809,20,13.7602549920941,5.71046957492886,33.1574514079796,13.76 (5.71-33.16),0,4
autism,f,2010,bpd,1,0.0813748117727584,20,16.826922738079,8.06790680788752,35.0952651754067,16.83 (8.07-35.10),12.2888149074007,4
autism,f,2011,bpd,1,0.0979850787132102,20,20.2494233803086,10.5652973400146,38.8099959744648,20.25 (10.57-38.81),10.205635522597,4
autism,f,2012,bpd,1,0.119784120465435,20,23.9800653580759,13.1447345880278,43.747063185387,23.98 (13.14-43.75),8.34835198617636,4
autism,f,2013,bpd,3,0.141548802190281,20,27.9458810072824,15.9408647460976,48.9918381287549,27.95 (15.94-48.99),21.1941037548815,4
autism,f,2014,bpd,4,0.162941273100616,20,32.0490374076485,19.1492012524413,53.6388325140144,32.05 (19.15-53.64),24.5487219038114,4
